,train,test,train_t,test_t
100,0.4807798825744988,0.47884359769605667,304.365234375,295.06591796875
200,0.40240389941287247,0.39875941515285773,598.880126953125,543.446044921875
300,0.3832114766810679,0.38701816570669034,835.086669921875,828.2763671875
400,0.5728924338096821,0.5636907399202481,1132.354736328125,1061.957275390625
500,0.7329123739891437,0.727403633141338,1454.55224609375,1340.9951171875
600,0.5946050736678852,0.5957022596366859,1669.794921875,1608.6142578125
700,0.6075938850116318,0.6043420469649978,1972.353515625,1871.80712890625
800,0.38105129057272624,0.38003987594151534,2276.76904296875,2142.565185546875
900,0.4084413426387504,0.41271599468320774,2571.580322265625,2377.882080078125
1000,0.477567298105683,0.47618520159503763,2733.666259765625,2633.23388671875
1100,0.3798050293563753,0.37948604342046965,2991.445068359375,2931.6953125
1200,0.38168826852775006,0.38048294195835175,3174.2021484375,3280.249755859375
1300,0.37839259997784425,0.37904297740363313,3646.489990234375,3447.394775390625
1400,0.2902126952475905,0.28987594151528573,3774.254150390625,3686.4453125
1500,0.41544810014401246,0.41526362428001773,4065.660888671875,4033.810791015625
1600,0.5027140799822754,0.5035445281346921,4292.238037109375,4336.542236328125
1700,0.4629444998338318,0.46112095702259637,4582.530029296875,4583.0498046875
1800,0.5336767475351722,0.5347806823216659,4771.234619140625,4825.14306640625
1900,0.4878697241608507,0.4890341160832964,5107.655029296875,5044.911865234375
2000,0.46391381411321586,0.46488701816570666,5345.282958984375,5310.981201171875
2100,0.36748089066134926,0.3696278245458573,5696.648681640625,5862.1611328125
2200,0.3666500498504487,0.3653079308817013,5934.831298828125,6097.267333984375
2300,0.30716184778996347,0.3011741249446167,6117.8291015625,6338.5361328125
2400,0.22560097485321817,0.22862206468763846,6382.85498046875,6674.347900390625
2500,0.24119308740445333,0.24368630926007973,6835.302001953125,6940.4931640625
2600,0.2903788634097707,0.2947496677004874,7051.079345703125,7302.32275390625
2700,0.32527417746759724,0.3252104563579974,7168.606689453125,7490.06396484375
2800,0.33482884679295444,0.335400974745237,7457.10791015625,7745.85400390625
2900,0.449540268084635,0.45015507310589276,7558.145751953125,8134.436279296875
3000,0.4322587792179019,0.432875498449269,8122.72412109375,8286.514892578125
3100,0.45106347623795284,0.45192733717323885,8260.2109375,8508.80078125
3200,0.3584247258225324,0.3568896765618077,8512.23388671875,8812.462158203125
3300,0.4617259333111776,0.4663269827204254,8710.9482421875,9025.89794921875
3400,0.49077766699900294,0.4920248116969429,8973.89697265625,9398.974853515625
3500,0.4696743104021269,0.467766947275144,9341.48583984375,9598.666748046875
3600,0.4139248919906946,0.41869738591050065,9670.223876953125,9920.053955078125
3700,0.5029910269192422,0.4995569339831635,10016.07958984375,10085.821044921875
3800,0.32150769912484767,0.32653965440850685,10044.558349609375,10433.88818359375
3900,0.46657250470809797,0.46909614532565347,10316.878173828125,10693.799072265625
4000,0.3326409659909162,0.3316349136021267,10632.928955078125,11030.615966796875
4100,0.3339703112883572,0.3308595480726628,11085.27587890625,11376.193115234375
4200,0.4112385067021159,0.4108329641116526,11381.015869140625,11681.83203125
4300,0.22562866954691485,0.226517501107665,11307.81005859375,11789.9140625
4400,0.3725767143015398,0.37394771821001327,11594.32470703125,12127.966064453125
4500,0.21086739780658026,0.21189632255206026,11895.22509765625,12221.036376953125
4600,0.4164451091170932,0.42046964997784675,12568.501708984375,12560.22705078125
4700,0.24304863188213144,0.24158174568010637,12580.39892578125,12883.091064453125
4800,0.6891824526420738,0.689964554718653,12871.67724609375,13207.26904296875
4900,0.5900354492079318,0.5933761630482942,13152.699951171875,13404.536865234375
5000,0.40785975407111996,0.41349136021267174,13140.195068359375,13713.353759765625
5100,0.5030741110003323,0.5034337616304829,13743.68212890625,14018.557373046875
5200,0.4770134042317492,0.4805050952591936,14195.462890625,14283.60986328125
5300,0.41107233853993574,0.4133805937084626,14357.783935546875,14624.535888671875
5400,0.3743214800044311,0.374612317235268,14872.692138671875,14871.653076171875
5500,0.394372438240833,0.40119627824545856,14772.31689453125,15212.9111328125
5600,0.3720782098149994,0.3714000886132034,14925.958984375,15381.678955078125
5700,0.3413647945053727,0.34426229508196726,15614.124755859375,15681.780029296875
5800,0.29176359809460506,0.2934204696499778,15726.03076171875,15959.440185546875
5900,0.21740334551899854,0.2213114754098361,15866.794921875,16247.794921875
6000,0.22219452752852553,0.22518830305715554,16082.77294921875,16456.83203125
6100,0.19918023706657806,0.2030350022153301,16276.099365234375,16493.284912109375
