,train,test,train_t,test_t
100,0.7199398797595191,0.7294589178356714,82.345947265625,155.748046875
200,0.6983967935871743,0.6878757515030061,160.30224609375,278.469970703125
300,0.7404809619238477,0.7214428857715431,241.112548828125,379.1669921875
400,0.6623246492985972,0.6783567134268538,341.754150390625,440.97314453125
500,0.7414829659318638,0.753006012024048,412.218994140625,567.9951171875
600,0.6763527054108216,0.6793587174348698,506.3623046875,656.52099609375
700,0.6680861723446894,0.6673346693386774,575.35009765625,744.8779296875
800,0.6784819639278556,0.6943887775551103,655.697265625,810.060546875
900,0.6728456913827655,0.6648296593186374,738.331787109375,874.65771484375
1000,0.6649549098196392,0.6598196392785571,868.7919921875,942.931884765625
1100,0.6495490981963927,0.6613226452905812,907.998046875,922.44287109375
1200,0.6227454909819639,0.6297595190380761,1052.079833984375,955.9228515625
1300,0.5896793587174349,0.5906813627254509,1108.912841796875,997.736328125
1400,0.6035821643286573,0.6202404809619239,1123.337890625,1027.6865234375
1500,0.5599949899799599,0.5881763527054108,1221.337158203125,1013.045166015625
1600,0.5449649298597194,0.5551102204408818,1270.576904296875,1029.406982421875
1700,0.5583667334669339,0.5791583166332666,1303.0859375,1020.031982421875
1800,0.5462174348697395,0.5831663326653307,1320.77392578125,1058.486083984375
1900,0.5268036072144289,0.5506012024048097,1332.89697265625,1053.720947265625
2000,0.5300601202404809,0.5501002004008015,1344.2041015625,1074.013916015625
2100,0.5424599198396793,0.5686372745490982,1503.822998046875,1038.814208984375
2200,0.5349448897795591,0.5671342685370742,1520.052001953125,1042.089111328125
2300,0.5261773547094188,0.5536072144288577,1531.4189453125,1054.65869140625
2400,0.5397044088176353,0.563627254509018,1604.299072265625,1074.572265625
2500,0.5273046092184368,0.5516032064128257,1591.4130859375,1072.912109375
2600,0.5273046092184368,0.5420841683366733,1641.031982421875,1042.429931640625
2700,0.5250501002004009,0.5480961923847696,1587.26513671875,1057.999755859375
2800,0.5260521042084169,0.5561122244488979,1636.8193359375,1041.243896484375
2900,0.5225450901803608,0.5521042084168337,1650.6611328125,1042.39404296875
3000,0.5220440881763527,0.5586172344689379,1639.044189453125,1076.977783203125
3100,0.5194138276553106,0.5561122244488979,1833.011962890625,1031.58203125
3200,0.5200400801603207,0.5531062124248497,1804.421142578125,1031.99609375
3300,0.5250501002004009,0.5571142284569138,1800.925048828125,1025.089111328125
3400,0.5249248496993988,0.5586172344689379,1787.773193359375,1021.159912109375
3500,0.5225450901803608,0.5591182364729459,1819.887939453125,1056.39892578125
3600,0.5224198396793587,0.5596192384769538,1817.52001953125,1040.06982421875
3700,0.5230460921843687,0.5581162324649298,1842.12890625,1024.0078125
3800,0.5219188376753507,0.5591182364729459,1833.182373046875,1038.003173828125
3900,0.5229208416833667,0.5551102204408818,1828.38623046875,1083.17724609375
4000,0.5235470941883767,0.5561122244488979,1865.52294921875,1028.748779296875
4100,0.5242985971943888,0.5591182364729459,1923.68408203125,1048.889892578125
4200,0.5221693386773547,0.5551102204408818,1913.43603515625,1036.901123046875
4300,0.5230460921843687,0.5566132264529058,1929.10595703125,1054.31689453125
4400,0.5242985971943888,0.560120240480962,1965.9873046875,1052.989013671875
4500,0.5231713426853708,0.5596192384769538,1920.457763671875,1046.56982421875
4600,0.5232965931863727,0.5591182364729459,1935.769287109375,1045.65087890625
4700,0.5231713426853708,0.5586172344689379,1964.89404296875,1038.6748046875
4800,0.5230460921843687,0.5586172344689379,1935.4189453125,1074.073974609375
4900,0.5226703406813626,0.560120240480962,1980.0283203125,1036.681396484375
5000,0.5229208416833667,0.5606212424849699,1979.80615234375,1035.92724609375
5100,0.5237975951903808,0.5591182364729459,2013.144287109375,1034.678955078125
5200,0.5231713426853708,0.5576152304609219,1988.177978515625,1014.528076171875
5300,0.5221693386773547,0.5581162324649298,1996.725830078125,1058.685546875
5400,0.5237975951903808,0.5596192384769538,2007.578125,1028.079833984375
5500,0.5230460921843687,0.5596192384769538,2009.97998046875,1013.319091796875
5600,0.5234218436873748,0.5596192384769538,2004.9013671875,1021.899169921875
5700,0.5227955911823647,0.5591182364729459,1999.0869140625,1032.8837890625
5800,0.5239228456913827,0.5596192384769538,2009.919921875,1048.23583984375
5900,0.5227955911823647,0.5586172344689379,2018.587890625,1037.245849609375
6000,0.5226703406813626,0.5586172344689379,2019.22705078125,1025.231201171875
6100,0.5232965931863727,0.5586172344689379,2032.87109375,1041.44677734375
6200,0.5244238476953909,0.5591182364729459,2046.60888671875,1022.791748046875
6300,0.5234218436873748,0.5586172344689379,2025.926025390625,1036.5498046875
6400,0.5230460921843687,0.5586172344689379,2058.769775390625,1033.718994140625
6500,0.5235470941883767,0.5586172344689379,2057.7109375,1047.333984375
6600,0.5237975951903808,0.5596192384769538,2032.773681640625,1018.924072265625
6700,0.5231713426853708,0.5581162324649298,2068.6630859375,1022.57275390625
6800,0.5236723446893787,0.5596192384769538,2081.05615234375,1074.375
6900,0.5232965931863727,0.5596192384769538,2054.712890625,1014.173095703125
7000,0.5232965931863727,0.5591182364729459,2057.89013671875,1039.87890625
7100,0.5230460921843687,0.560120240480962,2111.176025390625,1042.07177734375
7200,0.5236723446893787,0.5596192384769538,2042.34521484375,1019.173095703125
7300,0.5237975951903808,0.5596192384769538,2076.52587890625,1031.22998046875
7400,0.5231713426853708,0.560120240480962,2069.81396484375,1033.009765625
7500,0.5230460921843687,0.5591182364729459,2067.945068359375,1038.879150390625
7600,0.5232965931863727,0.5596192384769538,2103.1611328125,1036.350830078125
7700,0.5239228456913827,0.5596192384769538,2078.4677734375,1023.764892578125
7800,0.5237975951903808,0.5596192384769538,2104.830078125,1006.1640625
7900,0.5234218436873748,0.5591182364729459,2077.9248046875,1040.997314453125
